Order,Win,Layout,Turn - 0,Turn - 1,Turn - 2,Turn - 3,Turn - 4,Turn - 5,Turn - 6,Turn - 7,Turn - 8,Turn - 9,Turn - 10,Turn - 11
4668,2,"5, 8, 3, 8, 6, 7, 5, 7, 3, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 7 - 4, 5, 6, 7","3, 4, 7 - 4, 5, 6","3, 4, 7 - 4, 6","3, 4 - 4, 6","4 - 4, 6",4 - 4,"4 - "
4669,2,"5, 8, 3, 8, 6, 7, 5, 7, 4, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 7 - 4, 5, 6, 7","3, 4, 7 - 4, 5, 6","3, 4, 7 - 4, 6","3, 4 - 4, 6","3 - 4, 6",3 - 4,"3 - "
4670,2,"5, 8, 3, 8, 6, 7, 6, 7, 3, 4, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 7 - 4, 5, 6, 7","3, 4, 7 - 4, 5, 6","3, 4, 7 - 4, 5","3, 4 - 4, 5","4 - 4, 5",4 - 5,"4 - "
4671,2,"5, 8, 3, 8, 6, 7, 6, 7, 3, 5, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 7 - 4, 5, 6, 7","3, 4, 7 - 4, 5, 6","3, 4, 7 - 4, 5","3, 4 - 4, 5","4 - 4, 5",4 - 4,"4 - "
4672,2,"5, 8, 3, 8, 6, 7, 6, 7, 4, 5, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 7 - 4, 5, 6, 7","3, 4, 7 - 4, 5, 6","3, 4, 7 - 4, 5","3, 4 - 4, 5","3 - 4, 5",3 - 4,"3 - "
4673,2,"5, 8, 3, 8, 7, 3, 4, 6, 7, 5, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 5, 6, 7","4 - 5, 6, 7","4 - 5, 6",4 - 6,"4 - "
4674,2,"5, 8, 3, 8, 7, 3, 4, 6, 7, 6, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 5, 6, 7","4 - 5, 6, 7","4 - 5, 6",4 - 5,"4 - "
4675,2,"5, 8, 3, 8, 7, 3, 5, 6, 7, 4, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 4, 6, 7","4 - 4, 6, 7","4 - 4, 6",4 - 6,"4 - "
4676,2,"5, 8, 3, 8, 7, 3, 5, 6, 7, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 4, 6, 7","4 - 4, 6, 7","4 - 4, 6",4 - 4,"4 - "
4677,2,"5, 8, 3, 8, 7, 3, 6, 4, 6, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 7","4, 6 - 5, 7","4 - 5, 7",4 - 5,"4 - "
4678,2,"5, 8, 3, 8, 7, 3, 6, 5, 6, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 7","4, 6 - 4, 7","4 - 4, 7",4 - 4,"4 - "
4679,1,"5, 8, 3, 8, 7, 3, 6, 7, 4, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 7","4, 6 - 4, 5","4, 6 - 5",4 - 5," - 5"
4680,1,"5, 8, 3, 8, 7, 3, 6, 7, 5, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 7","4, 6 - 4, 5","4, 6 - 4",4 - 4," - 4"
4681,1,"5, 8, 3, 8, 7, 3, 7, 4, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6","4, 6 - 5, 6","4 - 5, 6"," - 5, 6"
4682,1,"5, 8, 3, 8, 7, 3, 7, 5, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6","4, 6 - 4, 6","4 - 4, 6"," - 4, 6"
4683,1,"5, 8, 3, 8, 7, 3, 7, 6, 4, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6","4, 6 - 4, 5","4, 6 - 5",4 - 5," - 5"
4684,1,"5, 8, 3, 8, 7, 3, 7, 6, 5, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6, 7","4, 6 - 4, 5, 6","4, 6 - 4, 5","4, 6 - 4",4 - 4," - 4"
4685,2,"5, 8, 3, 8, 7, 4, 5, 6, 7, 4, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6, 7","3, 6 - 4, 6, 7","3 - 4, 6, 7","3 - 4, 6",3 - 6,"3 - "
4686,2,"5, 8, 3, 8, 7, 4, 5, 6, 7, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6, 7","3, 6 - 4, 6, 7","3 - 4, 6, 7","3 - 4, 6",3 - 4,"3 - "
4687,2,"5, 8, 3, 8, 7, 4, 6, 4, 6, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 7","3, 6 - 5, 7","3 - 5, 7",3 - 5,"3 - "
4688,2,"5, 8, 3, 8, 7, 4, 6, 5, 6, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 7","3, 6 - 4, 7","3 - 4, 7",3 - 4,"3 - "
4689,1,"5, 8, 3, 8, 7, 4, 6, 7, 4, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 7","3, 6 - 4, 5","3, 6 - 5",3 - 5," - 5"
4690,1,"5, 8, 3, 8, 7, 4, 6, 7, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 7","3, 6 - 4, 5","3, 6 - 4",3 - 4," - 4"
4691,1,"5, 8, 3, 8, 7, 4, 7, 4, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6","3, 6 - 5, 6","3 - 5, 6"," - 5, 6"
4692,1,"5, 8, 3, 8, 7, 4, 7, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6","3, 6 - 4, 6","3 - 4, 6"," - 4, 6"
4693,1,"5, 8, 3, 8, 7, 4, 7, 6, 4, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6","3, 6 - 4, 5","3, 6 - 5",3 - 5," - 5"
4694,1,"5, 8, 3, 8, 7, 4, 7, 6, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6, 7","3, 6 - 4, 5, 6","3, 6 - 4, 5","3, 6 - 4",3 - 4," - 4"
4695,2,"5, 8, 3, 8, 7, 6, 7, 4, 5, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 4 - 4, 5, 6, 7","3, 4 - 4, 5, 6","3, 4 - 5, 6","3, 4 - 6","3, 4 - "
4696,2,"5, 8, 3, 8, 7, 6, 7, 4, 6, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 4 - 4, 5, 6, 7","3, 4 - 4, 5, 6","3, 4 - 5, 6","3, 4 - 5","3, 4 - "
4697,2,"5, 8, 3, 8, 7, 6, 7, 5, 4, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 4 - 4, 5, 6, 7","3, 4 - 4, 5, 6","3, 4 - 4, 6","3, 4 - 6","3, 4 - "
4698,2,"5, 8, 3, 8, 7, 6, 7, 5, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 4 - 4, 5, 6, 7","3, 4 - 4, 5, 6","3, 4 - 4, 6","3, 4 - 4","3, 4 - "
4699,2,"5, 8, 3, 8, 7, 6, 7, 6, 4, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 4 - 4, 5, 6, 7","3, 4 - 4, 5, 6","3, 4 - 4, 5","3, 4 - 5","3, 4 - "
4700,2,"5, 8, 3, 8, 7, 6, 7, 6, 5, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 4, 5, 6, 7","3, 4, 6, 7 - 4, 5, 6, 7","3, 4, 6 - 4, 5, 6, 7","3, 4 - 4, 5, 6, 7","3, 4 - 4, 5, 6","3, 4 - 4, 5","3, 4 - 4","3, 4 - "
4701,1,"5, 8, 4, 6, 7, 8, 3, 5, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","4, 7 - 3, 5, 6","4, 7 - 3, 6","4 - 3, 6"," - 3, 6"
4702,1,"5, 8, 4, 6, 7, 8, 3, 6, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","4, 7 - 3, 5, 6","4, 7 - 3, 5","4 - 3, 5"," - 3, 5"
4703,1,"5, 8, 4, 6, 7, 8, 4, 5, 7, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 7 - 3, 5, 6","3, 7 - 3, 6","3 - 3, 6"," - 3, 6"
4704,1,"5, 8, 4, 6, 7, 8, 4, 6, 7, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 7 - 3, 5, 6","3, 7 - 3, 5","3 - 3, 5"," - 3, 5"
4705,1,"5, 8, 4, 6, 7, 8, 7, 3, 5, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 4 - 3, 5, 6","4 - 3, 5, 6","4 - 3, 6",4 - 6," - 6"
4706,2,"5, 8, 4, 6, 7, 8, 7, 3, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 4 - 3, 5, 6","4 - 3, 5, 6","4 - 3, 6",4 - 3,"4 - "
4707,1,"5, 8, 4, 6, 7, 8, 7, 3, 6, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 4 - 3, 5, 6","4 - 3, 5, 6","4 - 3, 5",4 - 5," - 5"
4708,2,"5, 8, 4, 6, 7, 8, 7, 3, 6, 5, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 4 - 3, 5, 6","4 - 3, 5, 6","4 - 3, 5",4 - 3,"4 - "
4709,2,"5, 8, 4, 6, 7, 8, 7, 4, 5, 3, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 4 - 3, 5, 6","3 - 3, 5, 6","3 - 3, 6",3 - 6,"3 - "
4710,2,"5, 8, 4, 6, 7, 8, 7, 4, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 4 - 3, 5, 6","3 - 3, 5, 6","3 - 3, 6",3 - 3,"3 - "
4711,2,"5, 8, 4, 6, 7, 8, 7, 4, 6, 3, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 4 - 3, 5, 6","3 - 3, 5, 6","3 - 3, 5",3 - 5,"3 - "
4712,2,"5, 8, 4, 6, 7, 8, 7, 4, 6, 5, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6, 7","3, 4, 7, 8 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 4 - 3, 5, 6","3 - 3, 5, 6","3 - 3, 5",3 - 3,"3 - "
4713,1,"5, 8, 4, 7, 3, 5, 6, 7, 8, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 6, 8 - 3, 5, 6, 7","4, 6, 8 - 3, 5, 6, 7","4, 6, 8 - 3, 6, 7","4, 8 - 3, 6, 7","4, 8 - 3, 6","4 - 3, 6"," - 3, 6"
4714,1,"5, 8, 4, 7, 3, 5, 8, 4, 6, 3, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 6, 8 - 3, 5, 6, 7","4, 6, 8 - 3, 5, 6, 7","4, 6, 8 - 3, 6, 7","4, 6 - 3, 6, 7","6 - 3, 6, 7","6 - 3, 7",6 - 7," - 7"
4715,2,"5, 8, 4, 7, 3, 5, 8, 4, 6, 7, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 6, 8 - 3, 5, 6, 7","4, 6, 8 - 3, 5, 6, 7","4, 6, 8 - 3, 6, 7","4, 6 - 3, 6, 7","6 - 3, 6, 7","6 - 3, 7",6 - 3,"6 - "
4716,1,"5, 8, 4, 7, 3, 5, 8, 4, 7, 3, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 6, 8 - 3, 5, 6, 7","4, 6, 8 - 3, 5, 6, 7","4, 6, 8 - 3, 6, 7","4, 6 - 3, 6, 7","6 - 3, 6, 7","6 - 3, 6",6 - 6," - 6"
4717,2,"5, 8, 4, 7, 3, 5, 8, 4, 7, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7, 8 - 3, 4, 5, 6, 7","3, 4, 6, 7, 8 - 3, 5, 6, 7","3, 4, 6, 8 - 3, 5, 6, 7","4, 6, 8 - 3, 5, 6, 7","4, 6, 8 - 3, 6, 7","4, 6 - 3, 6, 7","6 - 3, 6, 7","6 - 3, 6",6 - 3,"6 - "
